surface_pair_id,benchmark_row_id,cohort,disease,drug,drug_norm_clean,moa_component,target_therapy_family,observed_orr_pct,depmap_lineage,depmap_screen,depmap_compound_id,depmap_lineage_n,depmap_abs_lineage_auc,depmap_abs_global_auc,depmap_lineage_rank,depmap_lineage_sensitivity_rank,depmap_lineage_auc_sensitivity,depmap_global_auc_sensitivity
nsclc::paclitaxel,cohort_strict44_28,nsclc,nsclc,Paclitaxel,paclitaxel,taxane,chemotherapy,34.2,Lung,GDSC2,DPC-004880,161,0.8915675000500044,0.8857852064539432,0.5259505489411859,0.47404945105881413,-0.8915675000500044,-0.8857852064539432
nsclc::pemetrexed,cohort_strict44_29,nsclc,nsclc,Pemetrexed,pemetrexed,antifolate_tyms,chemotherapy,10.3,Lung,GDSC1,DPC-004977,151,0.9422793024951995,0.8952240355172887,0.559963944904238,0.44003605509576205,-0.9422793024951995,-0.8952240355172887
nsclc::topotecan,cohort_strict44_30,nsclc,nsclc,Topotecan,topotecan,topo1,chemotherapy,5.0,Lung,GDSC2,DPC-006564,112,0.7808332619571011,0.7436541144474133,0.5685668498168498,0.4314331501831502,-0.7808332619571011,-0.7436541144474133
nsclc::vandetanib,cohort_strict44_31,nsclc,nsclc,Vandetanib,vandetanib,vegf_multikinase,targeted_therapy,9.1,Lung,PRISM,DPC-006799,115,0.9284400680389905,0.9217080877852207,0.5305577762745218,0.46944222372547817,-0.9284400680389905,-0.9217080877852207
nsclc::volasertib,cohort_strict44_32,nsclc,nsclc,Volasertib,volasertib,plk1_mitotic,targeted_therapy,8.1,Lung,PRISM,DPC-006868,116,0.49928729029889446,0.5137389433746383,0.469235735807547,0.530764264192453,-0.49928729029889446,-0.5137389433746383
ovarian::altretamine,cohort_strict44_33,ovarian,ovarian,Altretamine,altretamine,alkylator_low_specificity,chemotherapy,45.6,Ovary/Fallopian Tube,PRISM,DPC-000470,8,0.999627329580304,0.9956646287642023,0.5532407407407408,0.4467592592592592,-0.999627329580304,-0.9956646287642023
ovarian::bortezomib,cohort_strict44_34,ovarian,ovarian,Bortezomib,bortezomib,proteasome,targeted_therapy,3.8,Ovary/Fallopian Tube,GDSC2,DPC-001195,41,0.8048366043785194,0.7960156048944268,0.5398356648811691,0.4601643351188309,-0.8048366043785194,-0.7960156048944268
ovarian::docetaxel,cohort_strict44_35,ovarian,ovarian,Docetaxel,docetaxel,taxane,chemotherapy,34.8,Ovary/Fallopian Tube,GDSC2,DPC-002313,41,0.8629154248963422,0.8415523501780925,0.5762130665704119,0.42378693342958806,-0.8629154248963422,-0.8415523501780925
ovarian::gemcitabine,cohort_strict44_36,ovarian,ovarian,Gemcitabine,gemcitabine,gemcitabine_nucleoside,chemotherapy,11.1,Ovary/Fallopian Tube,GDSC2,DPC-002977,41,0.6728943317032378,0.6592573982891514,0.5079365079365079,0.4920634920634921,-0.6728943317032378,-0.6592573982891514
ovarian::paclitaxel,cohort_strict44_37,ovarian,ovarian,Paclitaxel,paclitaxel,taxane,chemotherapy,30.0,Ovary/Fallopian Tube,GDSC2,DPC-004880,41,0.8222572438978512,0.8857852064539432,0.3282802017785636,0.6717197982214365,-0.8222572438978512,-0.8857852064539432
ovarian::pemetrexed,cohort_strict44_38,ovarian,ovarian,Pemetrexed,pemetrexed,antifolate_tyms,chemotherapy,20.8,Ovary/Fallopian Tube,GDSC1,DPC-004977,41,0.9433459376144004,0.8952240355172887,0.5986995527998025,0.40130044720019753,-0.9433459376144004,-0.8952240355172887
ovarian::temsirolimus,cohort_strict44_39,ovarian,ovarian,Temsirolimus,temsirolimus,mtor_transcript_safe,targeted_therapy,9.3,Ovary/Fallopian Tube,GDSC2,DPC-007478,40,0.8084489038125253,0.8050450072490901,0.48961248654467165,0.5103875134553284,-0.8084489038125253,-0.8050450072490901
ovarian::topotecan,cohort_strict44_40,ovarian,ovarian,Topotecan,topotecan,topo1,chemotherapy,26.7,Ovary/Fallopian Tube,GDSC2,DPC-006564,27,0.7618434091425477,0.7436541144474133,0.5156431360135064,0.4843568639864936,-0.7618434091425477,-0.7436541144474133
pdac::erlotinib,cohort_strict44_41,pdac,pdac,Erlotinib,erlotinib,egfr_her2_mapk,targeted_therapy,1.0,Pancreas,GDSC2,DPC-002573,31,0.92408907563328,0.9042552058981899,0.5411728331443882,0.45882716685561176,-0.92408907563328,-0.9042552058981899
pdac::5_fluorouracil,cohort_strict44_42,pdac,pdac,5-Fluorouracil,5_fluorouracil,fluoropyrimidine_tyms,chemotherapy,0.0,Pancreas,GDSC2,DPC-002828,31,0.9102516919994528,0.8819607708958066,0.6007722799343903,0.3992277200656097,-0.9102516919994528,-0.8819607708958066
pdac::gemcitabine,cohort_strict44_43,pdac,pdac,Gemcitabine,gemcitabine,gemcitabine_nucleoside,chemotherapy,6.9,Pancreas,GDSC2,DPC-002977,31,0.7898526305571347,0.6592573982891514,0.6835296125618706,0.3164703874381294,-0.7898526305571347,-0.6592573982891514
pdac::sunitinib,cohort_strict44_44,pdac,pdac,Sunitinib,sunitinib,vegf_multikinase,targeted_therapy,1.4,Pancreas,,,0,nan,nan,nan,nan,nan,nan
