label,score_col,n_rows,pearson,spearman,within_disease_pair_pearson,within_disease_pair_spearman,within_disease_pairs,auc_above_disease_median,mae_orr_pct,rmse_orr_pct,mean_prediction,mean_observed_orr
depmap_lineage_sensitivity_rank,depmap_lineage_sensitivity_rank,40,-0.013645548168619076,-0.04384043636775361,-0.010528028246118797,-0.016696187721387888,171,0.47368421052631576,nan,nan,0.471926743851081,13.745
depmap_lineage_auc_sensitivity,depmap_lineage_auc_sensitivity,40,-0.021444987536273233,-0.015052510340859608,-0.13628260234358647,-0.17388012074250686,171,0.47368421052631576,nan,nan,-0.8288786083270319,13.745
depmap_global_auc_sensitivity,depmap_global_auc_sensitivity,40,-0.0270688921120981,0.001931958638124427,-0.1419129645989296,-0.18602567791493332,171,0.4849624060150376,nan,nan,-0.8106778417690604,13.745
