readout,score_col,n,n_pr,n_sd,direction,auc,balanced_accuracy,threshold_rule,pr_mean,sd_mean,interpretation
observed_absolute_state_p_response,observed_state_moa_gate_response_probability,11,5,6,PR high,0.8666666666666667,0.9166666666666667,p_response >= 0.5 predicts responder,0.6128029345374728,0.3544891175746233,Measured on-treatment absolute-state p_response readout; not a pretreatment prediction benchmark.
observed_delta_p_response,observed_delta_moa_gate_response_probability,11,5,6,PR high,0.6,0.5333333333333333,p_response >= 0.5 predicts responder,0.3181010958399086,0.2675909942351371,Measured pre-to-on-treatment delta p_response comparator; weaker than absolute-state readout.
observed_signed_moa_risk_adapter,kras_egfr_combo_conservative_risk_score,11,5,6,SD high,0.9,0.8166666666666667,risk_score <= 0 predicts responder,-0.7324763788977668,1.1864254220473975,Secondary observed on-treatment signed-risk adapter; strong aggregate separation but not the p_response explainer.
