cascade_step,n_patients,mean,median,q25,q75,pr_mean,sd_mean,pr_high_auc,highest_patient,highest_outcome,highest_value
1,11,-0.1062355130668692,-0.1828043699634707,-0.4577797566847228,0.3173743805960548,-0.1743113870602742,-0.0495056180723651,0.4333333333333333,P9,Stable Disease,0.8015908682355778
2,11,0.234256571174293,0.1790041381678969,0.0815531709562911,0.6252389520314638,0.4470012152220443,0.0569693678011669,0.7,P5,Partial Response,0.8027092586725079
3,11,0.2816394613840675,0.263227359621185,0.0808142705175767,0.7034151641149458,0.5175846260175977,0.0850184908561259,0.7333333333333334,P5,Partial Response,0.8526791109170081
4,11,0.3043933180703332,0.561219230644728,-0.0567433667193691,0.7082172365327943,0.5217691867186203,0.1232467608634273,0.6333333333333333,P5,Partial Response,0.8053703228518395
5,11,0.1770979828697136,0.2063114096641403,-0.0350689833583508,0.6279062637479773,0.3292519509800904,0.0503030094443996,0.6000000000000001,P9,Stable Disease,0.8731779248525867
6,11,0.07780212779276,0.0346938657065491,-0.2112733104804173,0.4410798083367339,0.1819507566797928,-0.0089883962797672,0.6000000000000001,P9,Stable Disease,0.8791787736839274
7,11,0.0103860791250835,-0.1437148127573731,-0.3295087580859476,0.2884517590514144,0.0836940618187203,-0.0507039064529471,0.5666666666666667,P9,Stable Disease,0.8754008138912167
8,11,-0.0451955465336356,-0.2251732834052292,-0.359841514497031,0.2468391273233489,0.0060124516558134,-0.0878688783581765,0.5333333333333333,P9,Stable Disease,0.8663655814594102
