control,surface,n,pearson_vs_baseline,spearman_vs_baseline,mean_abs_movement,max_abs_movement
gene_shuffled,predicted_delta_moa_gate_response_probability,11,0.7923989815598461,0.8272727272727273,0.2968432224221141,0.6918206370654035
gene_shuffled,predicted_delta_raw_support_score,11,0.8844329040398584,0.8272727272727273,0.1890780640481121,0.6733925320886115
gene_shuffled,predicted_delta_four_family_risk_sum,11,0.8941086632695766,0.7090909090909092,2.5575462070911072,5.316467125966316
gene_shuffled,gene_delta_cosine_z,11,0.8701692897608538,0.8545454545454546,0.0558117940834217,0.1235109407390973
gene_shuffled,cascade_state_cosine_gain_z,11,0.9788080051616702,0.9636363636363636,0.0720416799250655,0.1683010208732776
hard_donor,predicted_delta_moa_gate_response_probability,11,0.9989066702144108,0.9818181818181818,0.0137248159100433,0.0420126323419968
hard_donor,predicted_delta_raw_support_score,11,0.999527320548923,0.9727272727272728,0.009601422560579,0.0464741719549913
hard_donor,predicted_delta_four_family_risk_sum,11,0.995174894621764,0.9545454545454546,0.7458490004192885,1.857553040017529
hard_donor,gene_delta_cosine_z,11,0.9633100475046864,0.9545454545454546,0.0244048911998066,0.0548521378353399
hard_donor,cascade_state_cosine_gain_z,11,0.9985039681317742,0.990909090909091,0.0158441916124887,0.0431351892945694
