cascade_step,analysis_timepoint,n_patients,pearson_mean,pearson_min,pearson_max,spearman_mean,mean_abs_diff,baseline_mean_abs,hard_mean_abs
1,on_treatment,11,0.7401249759035188,0.6646972385209288,0.8815947402150509,0.7237298953176219,0.0177008990679399,0.01284012048911209,0.025518793343854273
2,on_treatment,11,0.942742439428595,0.8556118136898002,0.9653424503529882,0.8915154913477327,0.02549488666776688,0.07263989985456192,0.059915356784029414
3,on_treatment,11,0.9920654663765035,0.9881337888683992,0.9953838501975848,0.9788323334488607,0.041831839977298335,0.2694163746338462,0.24779509926870424
4,on_treatment,11,0.9957434192099671,0.9940769916205128,0.997413752861164,0.9889010089480889,0.10421794351422546,0.975517343832466,0.9460758898729648
1,post_like,7,0.7562504677672381,0.6646972385209288,0.8815947402150509,0.7385175883434841,0.018198893229572043,0.012944093889409843,0.02677375579095597
2,post_like,7,0.9358108425753332,0.8556118136898002,0.9641227966450748,0.8805387016986844,0.025317524980778185,0.06952191810112103,0.057900967278211715
3,post_like,7,0.9914010149747934,0.9881337888683992,0.9940251007092668,0.9779630679115077,0.04166943024053897,0.2598434336742694,0.2391890210670567
4,post_like,7,0.9957338712630249,0.994080876858436,0.997413752861164,0.988877094125787,0.10141631044804432,0.9397606130986864,0.9105373223322024
