benchmark_level,benchmark_name,control_family,metric,real_value,control_n,control_mean,control_p05,control_median,control_p95,control_max,empirical_p_ge_real
cohort,gaia_44_strict_orr,label_shuffle_global,pearson,0.649918028959914,1000,0.008906083174952038,-0.23232338703511557,0.0051359068701694426,0.27471040888924303,0.5248817073839271,0.0
cohort,gaia_44_strict_orr,label_shuffle_global,spearman,0.5941032698278416,1000,0.009498836128262184,-0.2341131354988574,0.00810526099307393,0.2650844149231545,0.5630242734273838,0.0
cohort,gaia_44_strict_orr,label_shuffle_global,auc_above_disease_median,0.7520661157024794,1000,0.5048976545522988,0.3615702479338843,0.5056818181818181,0.6426136363636363,0.7768595041322314,0.002
cohort,gaia_44_strict_orr,label_shuffle_within_disease,pearson,0.649918028959914,1000,0.1912204619290025,-0.03541870629392724,0.18943296217529576,0.42051458048047485,0.5807473853492583,0.0
cohort,gaia_44_strict_orr,label_shuffle_within_disease,spearman,0.5941032698278416,1000,0.18080206155966305,-0.031584030091965205,0.1772915476480659,0.3785757273468715,0.5252350391677363,0.0
cohort,gaia_44_strict_orr,label_shuffle_within_disease,auc_above_disease_median,0.7520661157024794,1000,0.49499070247933885,0.35330578512396693,0.493801652892562,0.6333161157024793,0.7365702479338843,0.0
