cohort,n_orr,pearson,spearman,mae_orr_pct,mean_prediction,mean_observed_orr
breast,8,0.8348215667839561,0.9523809523809523,7.562499999999999,17.9125,17.7
crc,10,0.7432236653200138,0.5198801068060221,8.35,13.51,5.16
nsclc,14,0.5031770174335458,0.42605271752012563,11.228571428571428,20.178571428571427,13.492857142857144
ovarian,8,0.37039009459632133,0.38095238095238093,14.7375,29.1,22.7625
pdac,4,-0.17012213956824837,-0.4,7.925,10.25,2.325
