analysis,slice,score_col,target,n,pearson,spearman,auc_high,success_mean,failure_mean
hard_donor_marker_swap,nsclc,full_marker_score_mean_tanh_mean,label_bin,14,-0.14720753710798262,-0.19491172578304186,0.3877551020408163,0.07983987823692686,0.10548017289356758
hard_donor_marker_swap,nsclc,full_marker_score_mean_tanh_mean,best_available_primary_orr,14,0.0529546196126129,0.0022075270337830345,,,
hard_donor_marker_swap,nsclc,full_marker_score_strict_coverage_mean,label_bin,14,-0.2289402549490307,-0.19491172578304186,0.3877551020408163,0.06365028979625419,0.0973006075864452
hard_donor_marker_swap,nsclc,full_marker_score_strict_coverage_mean,best_available_primary_orr,14,0.020988817828067215,0.0022075270337830345,,,
hard_donor_marker_swap,nsclc,full_marker_baseline_score_mean,label_bin,14,0.20878601556953308,-0.11805626722019104,0.4387755102040816,0.0035795747720793044,-0.0012401105260595041
hard_donor_marker_swap,nsclc,full_marker_baseline_score_mean,best_available_primary_orr,14,0.23502068562620745,0.012256558722673318,,,
hard_donor_marker_swap,nsclc,full_marker_delta_score_mean,label_bin,14,-0.15454793600638844,-0.23035022137995856,0.3673469387755102,0.15610018170177442,0.2122004563131946
hard_donor_marker_swap,nsclc,full_marker_delta_score_mean,best_available_primary_orr,14,0.03587299043148466,-0.01986774330404731,,,
hard_donor_marker_swap,nsclc,full_marker_gene_ordinal_score_mean,label_bin,14,-0.13958159183981694,-0.08859623899229176,0.4489795918367347,1.8071428571428572,1.880952380952381
hard_donor_marker_swap,nsclc,full_marker_gene_ordinal_score_mean,best_available_primary_orr,14,0.0854251677927715,-0.015452689236481243,,,
hard_donor_marker_swap,ovarian,full_marker_score_coverage_weighted_mean,label_bin,8,0.25845747924538537,0.6197797868009122,0.8666666666666667,0.008047170457274034,-0.042065716898075735
hard_donor_marker_swap,ovarian,full_marker_score_coverage_weighted_mean,best_available_primary_orr,12,0.27049116543922674,0.3916083916083916,,,
hard_donor_marker_swap,ovarian,full_marker_score_mean_tanh_mean,label_bin,8,0.2607434647734902,0.6197797868009122,0.8666666666666667,0.010256728304529417,-0.045738505283174115
hard_donor_marker_swap,ovarian,full_marker_score_mean_tanh_mean,best_available_primary_orr,12,0.27205479064306937,0.3916083916083916,,,
hard_donor_marker_swap,ovarian,full_marker_score_strict_coverage_mean,label_bin,8,0.2562066701286784,0.6197797868009122,0.8666666666666667,0.00618948581499359,-0.03866917618112068
hard_donor_marker_swap,ovarian,full_marker_score_strict_coverage_mean,best_available_primary_orr,12,0.2689439259098556,0.3916083916083916,,,
hard_donor_marker_swap,ovarian,full_marker_baseline_score_mean,label_bin,8,0.149071198499986,0.14907119849998599,0.5666666666666667,0.0473173765828988,0.04228860350847599
hard_donor_marker_swap,ovarian,full_marker_baseline_score_mean,best_available_primary_orr,12,0.19505406151820526,0.19432508268938875,,,
hard_donor_marker_swap,ovarian,full_marker_delta_score_mean,label_bin,8,0.2520902654392114,0.6197797868009122,0.8666666666666667,-0.04413531295662364,-0.16367001033291662
hard_donor_marker_swap,ovarian,full_marker_delta_score_mean,best_available_primary_orr,12,0.2657693342224207,0.3916083916083916,,,
hard_donor_marker_swap,ovarian,full_marker_gene_ordinal_score_mean,label_bin,8,0.33638083246694983,0.6272925433634211,0.8666666666666667,1.5916666666666666,1.4444444444444444
hard_donor_marker_swap,ovarian,full_marker_gene_ordinal_score_mean,best_available_primary_orr,12,0.3093426127273048,0.41773117646359414,,,
