analysis,slice,score_col,target,n,pearson,spearman,auc_high,success_mean,failure_mean,shuffle_iter
gene_shuffle,nsclc,full_marker_score_coverage_weighted_mean,label_bin,14,-0.1233067771601235,-0.05315774339537505,0.46938775510204084,0.013004938301994022,0.025405957722275146,3
gene_shuffle,nsclc,full_marker_score_coverage_weighted_mean,best_available_primary_orr,14,0.17488340965428728,0.28477098735801143,,,,3
gene_shuffle,ovarian,full_marker_score_coverage_weighted_mean,label_bin,8,0.2850787087600161,-0.05634361698190111,0.4666666666666667,-0.006156756794368133,-0.02738564932984851,3
gene_shuffle,ovarian,full_marker_score_coverage_weighted_mean,best_available_primary_orr,12,0.45786816613269243,0.5174825174825175,,,,3
gene_shuffle,all,full_marker_score_coverage_weighted_mean,label_bin,39,-0.17822030338776917,-0.19599522296174138,0.3868421052631579,0.013234510931770062,0.041428326018132636,4
gene_shuffle,all,full_marker_score_coverage_weighted_mean,best_available_primary_orr,45,0.009734236983674094,0.03016208352133788,,,,4
gene_shuffle,breast,full_marker_score_coverage_weighted_mean,label_bin,9,-0.29564791023189,-0.17320508075688773,0.4,0.021931294432311694,0.03891933703468421,4
gene_shuffle,breast,full_marker_score_coverage_weighted_mean,best_available_primary_orr,9,-0.14760070594427924,-0.00836827408755723,,,,4
gene_shuffle,crc,full_marker_score_coverage_weighted_mean,label_bin,8,0.02965651002932661,0.16903085094570333,0.6,0.011275358275500158,0.008891658307812831,4
gene_shuffle,crc,full_marker_score_coverage_weighted_mean,best_available_primary_orr,10,0.23719458461222534,0.2613993837824278,,,,4
gene_shuffle,nsclc,full_marker_score_coverage_weighted_mean,label_bin,14,0.113067483610791,0.05315774339537505,0.5306122448979592,0.029826667711762622,0.01173026407764086,4
gene_shuffle,nsclc,full_marker_score_coverage_weighted_mean,best_available_primary_orr,14,0.17688258737162607,0.16556452753372758,,,,4
gene_shuffle,ovarian,full_marker_score_coverage_weighted_mean,label_bin,8,-0.713228136366888,-0.8451542547285167,0.0,-0.01577644376689088,0.16913323170222713,4
gene_shuffle,ovarian,full_marker_score_coverage_weighted_mean,best_available_primary_orr,12,-0.24854570283505445,-0.25874125874125875,,,,4
gene_shuffle,all,full_marker_score_coverage_weighted_mean,label_bin,39,0.12631181883957363,0.06837042661456096,0.5394736842105263,0.016095608835014066,0.004411616954111179,5
gene_shuffle,all,full_marker_score_coverage_weighted_mean,best_available_primary_orr,45,0.21036523215439396,0.1834145078901487,,,,5
gene_shuffle,breast,full_marker_score_coverage_weighted_mean,label_bin,9,-0.5734124637022769,-0.5196152422706632,0.2,-0.020010139942635417,0.0196724133798595,5
gene_shuffle,breast,full_marker_score_coverage_weighted_mean,best_available_primary_orr,9,-0.6358450779798331,-0.5857791861290061,,,,5
gene_shuffle,crc,full_marker_score_coverage_weighted_mean,label_bin,8,0.34954980925741685,0.2817180849095055,0.6666666666666666,0.03407431992219335,0.015020094956979802,5
gene_shuffle,crc,full_marker_score_coverage_weighted_mean,best_available_primary_orr,10,0.16740977174323854,0.2735574946560291,,,,5
gene_shuffle,nsclc,full_marker_score_coverage_weighted_mean,label_bin,14,0.18840289002167143,0.19491172578304186,0.6122448979591837,0.02546063802082867,0.009768831311548936,5
gene_shuffle,nsclc,full_marker_score_coverage_weighted_mean,best_available_primary_orr,14,0.44152814381003347,0.5673344476822398,,,,5
gene_shuffle,ovarian,full_marker_score_coverage_weighted_mean,label_bin,8,0.5060602449651718,0.50709255283711,0.8,0.021081940344685635,-0.05120400726093849,5
gene_shuffle,ovarian,full_marker_score_coverage_weighted_mean,best_available_primary_orr,12,0.47677391228902277,0.6573426573426573,,,,5
gene_shuffle,all,full_marker_score_coverage_weighted_mean,label_bin,39,0.10742942993659227,0.01367408532291219,0.5078947368421053,-0.003078372780665261,-0.014858100463075691,6
gene_shuffle,all,full_marker_score_coverage_weighted_mean,best_available_primary_orr,45,0.03478857053703477,-0.05557215388395294,,,,6
gene_shuffle,breast,full_marker_score_coverage_weighted_mean,label_bin,9,-0.6000937969400301,-0.6928203230275509,0.1,-0.0007360894524929406,0.035159757459852614,6
gene_shuffle,breast,full_marker_score_coverage_weighted_mean,best_available_primary_orr,9,-0.6280306839387813,-0.8619322310183947,,,,6
gene_shuffle,crc,full_marker_score_coverage_weighted_mean,label_bin,8,0.3485876886401393,0.39440531887330776,0.7333333333333333,-0.007831913040717198,-0.05810626987862538,6
gene_shuffle,crc,full_marker_score_coverage_weighted_mean,best_available_primary_orr,10,-0.07229327231815072,0.13981827504641486,,,,6
gene_shuffle,nsclc,full_marker_score_coverage_weighted_mean,label_bin,14,0.08195792114334172,0.08859623899229176,0.5510204081632653,-0.009464901707227247,-0.018953324267302996,6
gene_shuffle,nsclc,full_marker_score_coverage_weighted_mean,best_available_primary_orr,14,0.020414225201360485,0.06843333804727406,,,,6
gene_shuffle,ovarian,full_marker_score_coverage_weighted_mean,label_bin,8,0.3580299275765931,0.2817180849095055,0.6666666666666666,0.006841065210014828,-0.016585392432176344,6
gene_shuffle,ovarian,full_marker_score_coverage_weighted_mean,best_available_primary_orr,12,-0.010567683503300479,0.027972027972027972,,,,6
gene_shuffle,all,full_marker_score_coverage_weighted_mean,label_bin,39,-0.034920232966104386,0.00455802844097073,0.5026315789473684,0.004955853100838185,0.008359399774679244,7
gene_shuffle,all,full_marker_score_coverage_weighted_mean,best_available_primary_orr,45,0.04290218642331219,0.10553429223330256,,,,7
gene_shuffle,breast,full_marker_score_coverage_weighted_mean,label_bin,9,0.320464001147497,0.34641016151377546,0.7,0.008378571246917411,-0.009821200318539922,7
gene_shuffle,breast,full_marker_score_coverage_weighted_mean,best_available_primary_orr,9,0.43593514651903087,0.5188329934285483,,,,7
gene_shuffle,crc,full_marker_score_coverage_weighted_mean,label_bin,8,0.2386718488849798,0.16903085094570333,0.6,0.026853485903358593,0.0017200362090723149,7
gene_shuffle,crc,full_marker_score_coverage_weighted_mean,best_available_primary_orr,10,-0.10248556758253423,-0.12766016417281356,,,,7
gene_shuffle,nsclc,full_marker_score_coverage_weighted_mean,label_bin,14,0.041807657111751176,-0.017719247798458352,0.4897959183673469,0.015430081192782703,0.011315092296138616,7
gene_shuffle,nsclc,full_marker_score_coverage_weighted_mean,best_available_primary_orr,14,0.3922755831522936,0.3156763658309739,,,,7
