label,score_col,n_orr,pearson,spearman,within_disease_pair_weighted_pearson,within_disease_pair_weighted_spearman,auc_success_above_disease_median,control_family,variant,shuffle_iter
signed_mag_tail_soft_primary:gene_shuffle_0008,expected_orr_pct,44,-0.1698223468670625,-0.2304220635698801,-0.2421569520859047,-0.3168509243291412,0.3747412008281574,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,8
signed_mag_tail_hard_reference:gene_shuffle_0008,expected_orr_pct,44,-0.22723077396583805,-0.2763411526921575,-0.24897361432855564,-0.31863508941324087,0.35610766045548653,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,8
grid_covgate90_magm0005_tailm0020:gene_shuffle_0008,expected_orr_pct,44,-0.15628829795533605,-0.23854297601564664,-0.21159986294586408,-0.28676462510976364,0.36853002070393376,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,8
signed_mag_tail_soft_primary:gene_shuffle_0009,expected_orr_pct,44,-0.20583853499098653,-0.21340345574875194,-0.3178201010077437,-0.407099542596766,0.33540372670807456,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,9
signed_mag_tail_hard_reference:gene_shuffle_0009,expected_orr_pct,44,-0.13937497215463046,-0.1500625171050469,-0.30433811007359923,-0.35397409015485404,0.34886128364389235,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,9
grid_covgate90_magm0005_tailm0020:gene_shuffle_0009,expected_orr_pct,44,-0.15620808533083977,-0.20690672579213873,-0.3000759983343211,-0.34968108422757155,0.3333333333333333,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,9
signed_mag_tail_soft_primary:gene_shuffle_0010,expected_orr_pct,44,-0.13080834346220502,-0.10536001190507542,-0.160860905059688,-0.20696422163088565,0.38923395445134573,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,10
signed_mag_tail_hard_reference:gene_shuffle_0010,expected_orr_pct,44,-0.009544817594781853,0.014189667516521268,-0.025890715483178603,-0.06455298186395707,0.4254658385093168,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,10
grid_covgate90_magm0005_tailm0020:gene_shuffle_0010,expected_orr_pct,44,-0.08930627674307956,-0.07697212665987414,-0.11760301605911361,-0.1854551871633101,0.3830227743271222,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,10
signed_mag_tail_soft_primary:gene_shuffle_0011,expected_orr_pct,44,-0.10551117055778787,-0.005790563656981358,0.08788531370166928,0.21736137225185492,0.5610766045548654,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,11
signed_mag_tail_hard_reference:gene_shuffle_0011,expected_orr_pct,44,-0.0652696376997512,-0.03092344672579899,0.1784383444062049,0.26180126174346935,0.5766045548654244,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,11
grid_covgate90_magm0005_tailm0020:gene_shuffle_0011,expected_orr_pct,44,-0.07887842044372051,-0.0011298660794109964,0.11960756387025082,0.23868333387232402,0.567287784679089,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,11
signed_mag_tail_soft_primary:gene_shuffle_0012,expected_orr_pct,44,0.17039291508751808,0.09427320100085501,0.141712329643742,0.1894351375875862,0.5755693581780539,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,12
signed_mag_tail_hard_reference:gene_shuffle_0012,expected_orr_pct,44,0.1913686253183274,0.12376014955510233,0.16117545049587612,0.16092794780556055,0.6118012422360248,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,12
grid_covgate90_magm0005_tailm0020:gene_shuffle_0012,expected_orr_pct,44,0.2117095817428042,0.16128838283591979,0.17439447412365286,0.23550111635445237,0.6045548654244306,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,12
signed_mag_tail_soft_primary:gene_shuffle_0013,expected_orr_pct,44,0.1313050840192263,0.14582334087398174,0.20366390168326037,0.3609774900792225,0.6376811594202898,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,13
signed_mag_tail_hard_reference:gene_shuffle_0013,expected_orr_pct,44,0.16981436129968955,0.15507927178165903,0.2998832334187589,0.34633039282991035,0.6749482401656315,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,13
grid_covgate90_magm0005_tailm0020:gene_shuffle_0013,expected_orr_pct,44,0.20159100205650887,0.19002935123093698,0.2757511173337217,0.3609774900792225,0.6583850931677019,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,13
signed_mag_tail_soft_primary:gene_shuffle_0014,expected_orr_pct,44,-0.13069962834898702,0.007767829295950601,0.09154217480850373,0.08542451615345623,0.5403726708074534,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,14
signed_mag_tail_hard_reference:gene_shuffle_0014,expected_orr_pct,44,-0.1682868308104672,-0.09140361553736848,0.057355730307682116,0.023255163642969156,0.47929606625258797,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,14
grid_covgate90_magm0005_tailm0020:gene_shuffle_0014,expected_orr_pct,44,-0.1700793565491368,-0.02810541872534854,0.05479136967212974,0.025392264893761316,0.5010351966873706,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,14
signed_mag_tail_soft_primary:gene_shuffle_0015,expected_orr_pct,44,-0.10972085683650344,-0.10359459615599576,0.031197561042114755,-0.03311251505231781,0.4554865424430642,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,15
signed_mag_tail_hard_reference:gene_shuffle_0015,expected_orr_pct,44,-0.11015842373642123,-0.1582848390839731,0.058309509650258856,-0.040259536313933524,0.4668737060041408,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,15
grid_covgate90_magm0005_tailm0020:gene_shuffle_0015,expected_orr_pct,44,-0.1054958589976417,-0.1305701488019333,0.040707460194268956,-0.07761848227669463,0.4451345755693582,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,15
signed_mag_tail_soft_primary:gene_shuffle_0016,expected_orr_pct,44,-0.3528635076778106,-0.4133897518044984,-0.3849543442072858,-0.4337860546552029,0.2939958592132505,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,16
signed_mag_tail_hard_reference:gene_shuffle_0016,expected_orr_pct,44,-0.33521143233320505,-0.28854611801866964,-0.3015038267825931,-0.3026802457550012,0.34057971014492755,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,16
