label,score_col,n_orr,pearson,spearman,within_disease_pair_weighted_pearson,within_disease_pair_weighted_spearman,auc_success_above_disease_median,control_family,variant,random_iter
signed_mag_tail_soft_primary:random_same_patient_wrong_drug_0013,expected_orr_pct,44,0.4206695247901615,0.4256770454180928,-0.0494811256196605,-0.0455322817678623,0.4472049689440994,random_same_patient_wrong_drug,signed_mag_tail_soft_primary,13.0
signed_mag_tail_soft_primary:random_same_patient_wrong_drug_0014,expected_orr_pct,44,0.5328453508769673,0.577997116248688,0.1504070908331452,0.1982754719085573,0.5652173913043478,random_same_patient_wrong_drug,signed_mag_tail_soft_primary,14.0
signed_mag_tail_soft_primary:random_same_patient_wrong_drug_0015,expected_orr_pct,44,0.3409125053945487,0.2554909672068116,-0.2722918674273549,-0.3604472018106505,0.4161490683229814,random_same_patient_wrong_drug,signed_mag_tail_soft_primary,15.0
signed_mag_tail_soft_primary:random_same_patient_wrong_drug_0016,expected_orr_pct,44,0.4226286681236199,0.3900862639166465,-0.0063657502527329,-0.0668147206907232,0.4886128364389234,random_same_patient_wrong_drug,signed_mag_tail_soft_primary,16.0
signed_mag_tail_soft_primary:random_same_patient_wrong_drug_0017,expected_orr_pct,44,0.3745408980621085,0.3606391292219975,-0.0809166245652689,-0.0062430224493228,0.4761904761904761,random_same_patient_wrong_drug,signed_mag_tail_soft_primary,17.0
signed_mag_tail_soft_primary:random_same_patient_wrong_drug_0018,expected_orr_pct,44,0.3979625255709343,0.3443973043304644,-0.0776119582284211,-0.065335957509047,0.5134575569358178,random_same_patient_wrong_drug,signed_mag_tail_soft_primary,18.0
signed_mag_tail_soft_primary:random_same_patient_wrong_drug_0019,expected_orr_pct,44,0.5434912721169087,0.5088634355147276,0.2392007192533073,0.2299652894903953,0.567287784679089,random_same_patient_wrong_drug,signed_mag_tail_soft_primary,19.0
signed_mag_tail_hard_reference:random_same_patient_wrong_drug_0000,expected_orr_pct,44,0.2162268972943938,0.247476190075024,-0.3409239943208152,-0.2876740125430309,0.4109730848861284,random_same_patient_wrong_drug,signed_mag_tail_hard_reference,0.0
signed_mag_tail_hard_reference:random_same_patient_wrong_drug_0001,expected_orr_pct,44,0.5372409813879673,0.4399674587701011,0.0864814935899564,0.0874041822063291,0.4627329192546583,random_same_patient_wrong_drug,signed_mag_tail_hard_reference,1.0
signed_mag_tail_hard_reference:random_same_patient_wrong_drug_0002,expected_orr_pct,44,0.3390710779143143,0.259676435909432,-0.0502660975200697,-0.1294935963776314,0.4213250517598343,random_same_patient_wrong_drug,signed_mag_tail_hard_reference,2.0
signed_mag_tail_hard_reference:random_same_patient_wrong_drug_0003,expected_orr_pct,44,0.4102740894324636,0.3236794466797547,-0.0587563429198128,-0.1305234366795499,0.4575569358178054,random_same_patient_wrong_drug,signed_mag_tail_hard_reference,3.0
signed_mag_tail_hard_reference:random_same_patient_wrong_drug_0004,expected_orr_pct,44,0.4731908200937252,0.4328721569126955,0.1988620511377507,0.143913592935722,0.4979296066252588,random_same_patient_wrong_drug,signed_mag_tail_hard_reference,4.0
signed_mag_tail_hard_reference:random_same_patient_wrong_drug_0005,expected_orr_pct,44,0.3355217183925028,0.2957522487069899,-0.0217312249411927,-0.0843677192355068,0.4875776397515527,random_same_patient_wrong_drug,signed_mag_tail_hard_reference,5.0
signed_mag_tail_hard_reference:random_same_patient_wrong_drug_0006,expected_orr_pct,44,0.3008019881723716,0.281159469703554,-0.0931919261545946,-0.1052825368199857,0.4254658385093168,random_same_patient_wrong_drug,signed_mag_tail_hard_reference,6.0
