variant,readout,n_random,real_wd_spearman,shuffle_wd_spearman_mean,shuffle_wd_spearman_p95,shuffle_wd_spearman_max,empirical_p_wd_spearman_ge_real,real_wd_pearson,shuffle_wd_pearson_mean,shuffle_wd_pearson_p95,shuffle_wd_pearson_max,empirical_p_wd_pearson_ge_real,real_success_auc,shuffle_success_auc_p95,shuffle_success_auc_max,empirical_p_success_auc_ge_real
signed_mag_tail_soft_primary,hard_predicted_orr_pct,100,0.3250677721274742,-0.0215176348673453,0.3223529281770064,0.4303314972787467,0.05,0.2373443545148558,-0.0363257302222996,0.2594231186193242,0.514386126970717,0.08,0.650103519668737,0.6234989648033126,0.6728778467908902,0.02
signed_mag_tail_hard_reference,hard_predicted_orr_pct,100,0.4950988374517546,0.0026933118798013,0.3871599821261632,0.4535686487758811,0.0,0.4084955034069356,0.0013031626997303,0.2928209854260941,0.4201490764021522,0.01,0.7391304347826086,0.7008281573498965,0.7163561076604554,0.0
grid_covgate90_magm0005_tailm0020,hard_predicted_orr_pct,100,0.5415814742613776,-0.0035019690828294,0.3437024627873449,0.5018698241511371,0.0,0.4716139019799185,-0.0071798071683787,0.2684837598268283,0.4282419272749783,0.0,0.7639751552795031,0.679296066252588,0.7039337474120083,0.0
