label,score_col,n_orr,pearson,spearman,within_disease_pair_weighted_pearson,within_disease_pair_weighted_spearman,auc_success_above_disease_median,variant,shuffle_iter
signed_mag_tail_soft_primary:gene_shuffle_0025:hard_predicted_orr_pct,hard_predicted_orr_pct,44,0.014328296162894622,-0.013521167862756322,0.02787738812905655,0.1541628597318728,0.5527950310559007,signed_mag_tail_soft_primary,25
signed_mag_tail_soft_primary:gene_shuffle_0026:hard_predicted_orr_pct,hard_predicted_orr_pct,44,0.0872349976936461,0.0486235875672066,0.07422855471917283,0.19524934272035735,0.6014492753623188,signed_mag_tail_soft_primary,26
signed_mag_tail_soft_primary:gene_shuffle_0027:hard_predicted_orr_pct,hard_predicted_orr_pct,44,-0.04279405054497398,-0.06449371181374963,-0.14559214717595442,-0.18752243889377393,0.4057971014492754,signed_mag_tail_soft_primary,27
signed_mag_tail_soft_primary:gene_shuffle_0028:hard_predicted_orr_pct,hard_predicted_orr_pct,44,-0.17656021609777128,-0.22691836173412425,0.050012927940410415,0.007470124965391976,0.4886128364389234,signed_mag_tail_soft_primary,28
signed_mag_tail_soft_primary:gene_shuffle_0029:hard_predicted_orr_pct,hard_predicted_orr_pct,44,-0.30548679857963307,-0.345689195412441,-0.3326374748723201,-0.4102125662098608,0.39544513457556935,signed_mag_tail_soft_primary,29
signed_mag_tail_soft_primary:gene_shuffle_0030:hard_predicted_orr_pct,hard_predicted_orr_pct,44,-0.16059811627911882,-0.2638666374174762,-0.24429124040928735,-0.3009345493722559,0.46790890269151136,signed_mag_tail_soft_primary,30
signed_mag_tail_soft_primary:gene_shuffle_0031:hard_predicted_orr_pct,hard_predicted_orr_pct,44,-0.08048923346308648,0.08039758529995687,0.04077965193650093,0.14352659519571648,0.5227743271221532,signed_mag_tail_soft_primary,31
signed_mag_tail_soft_primary:gene_shuffle_0032:hard_predicted_orr_pct,hard_predicted_orr_pct,44,-0.04873487602385561,-0.028514064198169545,0.19043491398739615,0.2740290950173299,0.5610766045548654,signed_mag_tail_soft_primary,32
signed_mag_tail_soft_primary:gene_shuffle_0033:hard_predicted_orr_pct,hard_predicted_orr_pct,44,-0.1878289529441315,-0.2154781617901449,-0.27960411652469846,-0.3773301804589961,0.38509316770186336,signed_mag_tail_soft_primary,33
signed_mag_tail_soft_primary:gene_shuffle_0034:hard_predicted_orr_pct,hard_predicted_orr_pct,44,0.39926167929371936,0.19361678179128236,0.36503961155968173,0.3646734394241763,0.6035196687370601,signed_mag_tail_soft_primary,34
signed_mag_tail_soft_primary:gene_shuffle_0035:hard_predicted_orr_pct,hard_predicted_orr_pct,44,-0.008629887406342747,0.0911717986579907,0.1827803781069215,0.3399747204245099,0.572463768115942,signed_mag_tail_soft_primary,35
signed_mag_tail_soft_primary:gene_shuffle_0036:hard_predicted_orr_pct,hard_predicted_orr_pct,44,-0.18590235515457262,-0.22390821310842782,-0.24616434261602943,-0.38723894006335385,0.39855072463768115,signed_mag_tail_soft_primary,36
signed_mag_tail_soft_primary:gene_shuffle_0037:hard_predicted_orr_pct,hard_predicted_orr_pct,44,-0.18442307114385326,-0.33089527065176183,-0.18411078483384513,-0.3183180826845122,0.37163561076604557,signed_mag_tail_soft_primary,37
signed_mag_tail_soft_primary:gene_shuffle_0038:hard_predicted_orr_pct,hard_predicted_orr_pct,44,-0.034371152175945975,0.03938387087369756,0.1748833289257012,0.29069813430073416,0.6231884057971014,signed_mag_tail_soft_primary,38
signed_mag_tail_soft_primary:gene_shuffle_0039:hard_predicted_orr_pct,hard_predicted_orr_pct,44,0.22543638415183467,0.09267628691813729,0.15041414173592685,0.26640106566100336,0.6490683229813664,signed_mag_tail_soft_primary,39
signed_mag_tail_soft_primary:gene_shuffle_0040:hard_predicted_orr_pct,hard_predicted_orr_pct,44,0.11479011623597153,-0.12215154405442676,-0.007400574556096467,0.009104755170220915,0.5362318840579711,signed_mag_tail_soft_primary,40
signed_mag_tail_soft_primary:gene_shuffle_0041:hard_predicted_orr_pct,hard_predicted_orr_pct,44,-0.17202266076854641,-0.314524807896459,-0.16939151611465408,-0.2761550337088679,0.4389233954451346,signed_mag_tail_soft_primary,41
signed_mag_tail_soft_primary:gene_shuffle_0042:hard_predicted_orr_pct,hard_predicted_orr_pct,44,-0.3633534406469535,-0.42049189498073186,-0.40729325826047214,-0.42749331359424464,0.37163561076604557,signed_mag_tail_soft_primary,42
